mean,std,min,max,descriptor_length,phone,image
0.13754158603587127,0.0941280504557865,0.0,0.6743460337636815,142884,phone1_iPhone15Plus,1_high_resolution.jpeg
0.14735810971181323,0.07786761377717352,0.0,0.5513467765337767,142884,phone1_iPhone15Plus,2_low_resolution.jpeg
0.14268901339888604,0.08612562468425251,0.0,0.6983813396579674,142884,phone1_iPhone15Plus,3_high_light.jpeg
0.14558157818875353,0.08114050692935887,0.0,0.7102322226449278,142884,phone1_iPhone15Plus,4_low_light.jpeg
0.14871968789897716,0.07523451471651595,0.0,0.4883607257890939,142884,phone1_iPhone15Plus,5_weather_occlusion.jpeg
0.13754158603587127,0.0941280504557865,0.0,0.6743460337636815,142884,phone2_SamsungS21,1_high_resolution.jpeg
0.14735810971181323,0.07786761377717352,0.0,0.5513467765337767,142884,phone2_SamsungS21,2_low_resolution.jpeg
0.14268901339888604,0.08612562468425251,0.0,0.6983813396579674,142884,phone2_SamsungS21,3_high_light.jpeg
0.14558157818875353,0.08114050692935887,0.0,0.7102322226449278,142884,phone2_SamsungS21,4_low_light.jpeg
0.14871968789897716,0.07523451471651595,0.0,0.4883607257890939,142884,phone2_SamsungS21,5_weather_occlusion.jpeg
0.13754158603587127,0.0941280504557865,0.0,0.6743460337636815,142884,phone3_OnePlusNordCE3,1_high_resolution.jpeg
0.14735810971181323,0.07786761377717352,0.0,0.5513467765337767,142884,phone3_OnePlusNordCE3,2_low_resolution.jpeg
0.14268901339888604,0.08612562468425251,0.0,0.6983813396579674,142884,phone3_OnePlusNordCE3,3_high_light.jpeg
0.14558157818875353,0.08114050692935887,0.0,0.7102322226449278,142884,phone3_OnePlusNordCE3,4_low_light.jpeg
0.14871968789897716,0.07523451471651595,0.0,0.4883607257890939,142884,phone3_OnePlusNordCE3,5_weather_occlusion.jpeg
0.13754158603587127,0.0941280504557865,0.0,0.6743460337636815,142884,phone4_RedmiNote12Pro,1_high_resolution.jpeg
0.14735810971181323,0.07786761377717352,0.0,0.5513467765337767,142884,phone4_RedmiNote12Pro,2_low_resolution.jpeg
0.14268901339888604,0.08612562468425251,0.0,0.6983813396579674,142884,phone4_RedmiNote12Pro,3_high_light.jpeg
0.14558157818875353,0.08114050692935887,0.0,0.7102322226449278,142884,phone4_RedmiNote12Pro,4_low_light.jpeg
0.14871968789897716,0.07523451471651595,0.0,0.4883607257890939,142884,phone4_RedmiNote12Pro,5_weather_occlusion.jpeg
0.13754158603587127,0.0941280504557865,0.0,0.6743460337636815,142884,phone5_Realme9Pro,1_high_resolution.jpeg
0.14735810971181323,0.07786761377717352,0.0,0.5513467765337767,142884,phone5_Realme9Pro,2_low_resolution.jpeg
0.14268901339888604,0.08612562468425251,0.0,0.6983813396579674,142884,phone5_Realme9Pro,3_high_light.jpeg
0.14558157818875353,0.08114050692935887,0.0,0.7102322226449278,142884,phone5_Realme9Pro,4_low_light.jpeg
0.14871968789897716,0.07523451471651595,0.0,0.4883607257890939,142884,phone5_Realme9Pro,5_weather_occlusion.jpeg
